Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage,State Name,Region,Measure,Type
07_2015,AK,H_CLEAN_HSP,8,22,70,Alaska,Pacific,Cleanliness of Hospital Environment,Individual Item
07_2015,AK,H_COMP_1,9,17,74,Alaska,Pacific,Communication with Nurses,Composite Measure
07_2015,AK,H_COMP_2,10,15,75,Alaska,Pacific,Communication with Doctors,Composite Measure
07_2015,AK,H_COMP_3,11,21,68,Alaska,Pacific,Responsiveness of Hospital Staff,Composite Measure
07_2015,AK,H_COMP_5,19,17,64,Alaska,Pacific,Communication about Medicines,Composite Measure
07_2015,AK,H_COMP_6,15,0,85,Alaska,Pacific,Discharge Information,Composite Measure
07_2015,AK,H_COMP_7,8,43,49,Alaska,Pacific,Care Transition,Composite Measure
07_2015,AK,H_HSP_RATING,13,22,65,Alaska,Pacific,Overall Hospital Rating,Global Item
07_2015,AK,H_QUIET_HSP,8,34,58,Alaska,Pacific,Quietness of Hospital Environment,Individual Item
07_2015,AK,H_RECMND,7,23,70,Alaska,Pacific,Willingness to Recommend the Hospital,Global Item
07_2015,AL,H_CLEAN_HSP,10,18,72,Alabama,East South Central,Cleanliness of Hospital Environment,Individual Item
07_2015,AL,H_COMP_1,5,14,81,Alabama,East South Central,Communication with Nurses,Composite Measure
07_2015,AL,H_COMP_2,3,11,86,Alabama,East South Central,Communication with Doctors,Composite Measure
07_2015,AL,H_COMP_3,10,21,69,Alabama,East South Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,AL,H_COMP_5,17,16,67,Alabama,East South Central,Communication about Medicines,Composite Measure
07_2015,AL,H_COMP_6,15,0,85,Alabama,East South Central,Discharge Information,Composite Measure
07_2015,AL,H_COMP_7,6,41,53,Alabama,East South Central,Care Transition,Composite Measure
07_2015,AL,H_HSP_RATING,7,20,73,Alabama,East South Central,Overall Hospital Rating,Global Item
07_2015,AL,H_QUIET_HSP,6,23,71,Alabama,East South Central,Quietness of Hospital Environment,Individual Item
07_2015,AL,H_RECMND,5,24,71,Alabama,East South Central,Willingness to Recommend the Hospital,Global Item
07_2015,AR,H_CLEAN_HSP,8,18,74,Arkansas,West South Central,Cleanliness of Hospital Environment,Individual Item
07_2015,AR,H_COMP_1,5,15,80,Arkansas,West South Central,Communication with Nurses,Composite Measure
07_2015,AR,H_COMP_2,4,12,84,Arkansas,West South Central,Communication with Doctors,Composite Measure
07_2015,AR,H_COMP_3,9,22,69,Arkansas,West South Central,Responsiveness of Hospital Staff,Composite Measure
07_2015,AR,H_COMP_5,18,17,65,Arkansas,West South Central,Communication about Medicines,Composite Measure
07_2015,AR,H_COMP_6,17,0,83,Arkansas,West South Central,Discharge Information,Composite Measure
07_2015,AR,H_COMP_7,6,44,50,Arkansas,West South Central,Care Transition,Composite Measure
07_2015,AR,H_HSP_RATING,8,22,70,Arkansas,West South Central,Overall Hospital Rating,Global Item
07_2015,AR,H_QUIET_HSP,7,26,67,Arkansas,West South Central,Quietness of Hospital Environment,Individual Item
07_2015,AR,H_RECMND,5,27,68,Arkansas,West South Central,Willingness to Recommend the Hospital,Global Item
07_2015,AZ,H_CLEAN_HSP,10,20,70,Arizona,Mountain,Cleanliness of Hospital Environment,Individual Item
07_2015,AZ,H_COMP_1,5,18,77,Arizona,Mountain,Communication with Nurses,Composite Measure
07_2015,AZ,H_COMP_2,5,17,78,Arizona,Mountain,Communication with Doctors,Composite Measure
07_2015,AZ,H_COMP_3,9,25,66,Arizona,Mountain,Responsiveness of Hospital Staff,Composite Measure
07_2015,AZ,H_COMP_5,18,18,64,Arizona,Mountain,Communication about Medicines,Composite Measure
07_2015,AZ,H_COMP_6,13,0,87,Arizona,Mountain,Discharge Information,Composite Measure
07_2015,AZ,H_COMP_7,6,44,50,Arizona,Mountain,Care Transition,Composite Measure
07_2015,AZ,H_HSP_RATING,8,22,70,Arizona,Mountain,Overall Hospital Rating,Global Item
07_2015,AZ,H_QUIET_HSP,11,31,58,Arizona,Mountain,Quietness of Hospital Environment,Individual Item
07_2015,AZ,H_RECMND,6,24,70,Arizona,Mountain,Willingness to Recommend the Hospital,Global Item
07_2015,CA,H_CLEAN_HSP,10,20,70,California,Pacific,Cleanliness of Hospital Environment,Individual Item
07_2015,CA,H_COMP_1,6,19,75,California,Pacific,Communication with Nurses,Composite Measure
07_2015,CA,H_COMP_2,6,16,78,California,Pacific,Communication with Doctors,Composite Measure
07_2015,CA,H_COMP_3,12,26,62,California,Pacific,Responsiveness of Hospital Staff,Composite Measure
07_2015,CA,H_COMP_5,20,18,62,California,Pacific,Communication about Medicines,Composite Measure
07_2015,CA,H_COMP_6,16,0,84,California,Pacific,Discharge Information,Composite Measure
07_2015,CA,H_COMP_7,7,44,49,California,Pacific,Care Transition,Composite Measure
07_2015,CA,H_HSP_RATING,9,23,68,California,Pacific,Overall Hospital Rating,Global Item
07_2015,CA,H_QUIET_HSP,16,32,52,California,Pacific,Quietness of Hospital Environment,Individual Item
07_2015,CA,H_RECMND,6,24,70,California,Pacific,Willingness to Recommend the Hospital,Global Item
07_2015,CO,H_CLEAN_HSP,7,18,75,Colorado,Mountain,Cleanliness of Hospital Environment,Individual Item
07_2015,CO,H_COMP_1,4,17,79,Colorado,Mountain,Communication with Nurses,Composite Measure
07_2015,CO,H_COMP_2,4,15,81,Colorado,Mountain,Communication with Doctors,Composite Measure
07_2015,CO,H_COMP_3,7,24,69,Colorado,Mountain,Responsiveness of Hospital Staff,Composite Measure
07_2015,CO,H_COMP_5,16,17,67,Colorado,Mountain,Communication about Medicines,Composite Measure
07_2015,CO,H_COMP_6,12,0,88,Colorado,Mountain,Discharge Information,Composite Measure
07_2015,CO,H_COMP_7,5,40,55,Colorado,Mountain,Care Transition,Composite Measure
07_2015,CO,H_HSP_RATING,6,20,74,Colorado,Mountain,Overall Hospital Rating,Global Item
07_2015,CO,H_QUIET_HSP,8,29,63,Colorado,Mountain,Quietness of Hospital Environment,Individual Item
07_2015,CO,H_RECMND,4,22,74,Colorado,Mountain,Willingness to Recommend the Hospital,Global Item
07_2015,CT,H_CLEAN_HSP,8,20,72,Connecticut,New England,Cleanliness of Hospital Environment,Individual Item
07_2015,CT,H_COMP_1,4,17,79,Connecticut,New England,Communication with Nurses,Composite Measure
07_2015,CT,H_COMP_2,5,15,80,Connecticut,New England,Communication with Doctors,Composite Measure
07_2015,CT,H_COMP_3,10,25,65,Connecticut,New England,Responsiveness of Hospital Staff,Composite Measure
07_2015,CT,H_COMP_5,19,18,63,Connecticut,New England,Communication about Medicines,Composite Measure
07_2015,CT,H_COMP_6,14,0,86,Connecticut,New England,Discharge Information,Composite Measure
07_2015,CT,H_COMP_7,5,45,50,Connecticut,New England,Care Transition,Composite Measure
07_2015,CT,H_HSP_RATING,8,24,68,Connecticut,New England,Overall Hospital Rating,Global Item
07_2015,CT,H_QUIET_HSP,15,33,52,Connecticut,New England,Quietness of Hospital Environment,Individual Item
07_2015,CT,H_RECMND,5,24,71,Connecticut,New England,Willingness to Recommend the Hospital,Global Item
07_2015,DC,H_CLEAN_HSP,16,21,63,District of Columbia,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,DC,H_COMP_1,10,20,70,District of Columbia,South Atlantic,Communication with Nurses,Composite Measure
07_2015,DC,H_COMP_2,7,16,77,District of Columbia,South Atlantic,Communication with Doctors,Composite Measure
07_2015,DC,H_COMP_3,19,27,54,District of Columbia,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
07_2015,DC,H_COMP_5,25,18,57,District of Columbia,South Atlantic,Communication about Medicines,Composite Measure
07_2015,DC,H_COMP_6,21,0,79,District of Columbia,South Atlantic,Discharge Information,Composite Measure
07_2015,DC,H_COMP_7,9,49,42,District of Columbia,South Atlantic,Care Transition,Composite Measure
07_2015,DC,H_HSP_RATING,14,28,58,District of Columbia,South Atlantic,Overall Hospital Rating,Global Item
07_2015,DC,H_QUIET_HSP,16,30,54,District of Columbia,South Atlantic,Quietness of Hospital Environment,Individual Item
07_2015,DC,H_RECMND,10,29,61,District of Columbia,South Atlantic,Willingness to Recommend the Hospital,Global Item
07_2015,DE,H_CLEAN_HSP,10,20,70,Delaware,South Atlantic,Cleanliness of Hospital Environment,Individual Item
07_2015,DE,H_COMP_1,4,17,79,Delaware,South Atlantic,Communication with Nurses,Composite Measure
07_2015,DE,H_COMP_2,5,17,78,Delaware,South Atlantic,Communication with Doctors,Composite Measure
07_2015,DE,H_COMP_3,9,24,67,Delaware,South Atlantic,Responsiveness of Hospital Staff,Composite Measure
07_2015,DE,H_COMP_5,20,17,63,Delaware,South Atlantic,Communication about Medicines,Composite Measure
07_2015,DE,H_COMP_6,14,0,86,Delaware,South Atlantic,Discharge Information,Composite Measure
07_2015,DE,H_COMP_7,5,45,50,Delaware,South Atlantic,Care Transition,Composite Measure
